nohup: ignoring input
Loaded 11460 /details/ URLs from /home/seancm/code/salary_prediction_project/data/processed/redirect_urls.json
Skipping 2400 already-scraped URLs, 9446 remaining
[1/9446] ok: https://www.adzuna.com.au/details/3246331622?utm_medium=api&utm_source
[2/9446] ok: https://www.adzuna.com.au/details/3286368077?utm_medium=api&utm_source
[3/9446] ok: https://www.adzuna.com.au/details/3367412272?utm_medium=api&utm_source
[4/9446] ok: https://www.adzuna.com.au/details/3374061252?utm_medium=api&utm_source
[5/9446] ok: https://www.adzuna.com.au/details/3669131567?utm_medium=api&utm_source
[6/9446] ok: https://www.adzuna.com.au/details/4125614419?utm_medium=api&utm_source
[7/9446] ok: https://www.adzuna.com.au/details/4304635466?utm_medium=api&utm_source
[8/9446] ok: https://www.adzuna.com.au/details/4422051816?utm_medium=api&utm_source
[9/9446] ok: https://www.adzuna.com.au/details/4488129600?utm_medium=api&utm_source
[10/9446] ok: https://www.adzuna.com.au/details/4488129607?utm_medium=api&utm_source
[11/9446] ok: https://www.adzuna.com.au/details/4574728370?utm_medium=api&utm_source
[12/9446] ok: https://www.adzuna.com.au/details/4574728371?utm_medium=api&utm_source
[13/9446] ok: https://www.adzuna.com.au/details/4574728406?utm_medium=api&utm_source
[14/9446] ok: https://www.adzuna.com.au/details/4575950549?utm_medium=api&utm_source
[15/9446] ok: https://www.adzuna.com.au/details/4577997828?utm_medium=api&utm_source
[16/9446] ok: https://www.adzuna.com.au/details/4577997833?utm_medium=api&utm_source
[17/9446] ok: https://www.adzuna.com.au/details/4583214649?utm_medium=api&utm_source
[18/9446] ok: https://www.adzuna.com.au/details/4592409712?utm_medium=api&utm_source
[19/9446] ok: https://www.adzuna.com.au/details/4607719705?utm_medium=api&utm_source
[20/9446] ok: https://www.adzuna.com.au/details/4608479579?utm_medium=api&utm_source
[21/9446] ok: https://www.adzuna.com.au/details/4616374564?utm_medium=api&utm_source
[22/9446] ok: https://www.adzuna.com.au/details/4616374574?utm_medium=api&utm_source
[23/9446] ok: https://www.adzuna.com.au/details/4710176377?utm_medium=api&utm_source
[24/9446] ok: https://www.adzuna.com.au/details/4725863765?utm_medium=api&utm_source
[25/9446] ok: https://www.adzuna.com.au/details/4725863775?utm_medium=api&utm_source
[26/9446] ok: https://www.adzuna.com.au/details/4725863820?utm_medium=api&utm_source
[27/9446] ok: https://www.adzuna.com.au/details/4725863884?utm_medium=api&utm_source
[28/9446] ok: https://www.adzuna.com.au/details/4725864558?utm_medium=api&utm_source
[29/9446] ok: https://www.adzuna.com.au/details/4725864628?utm_medium=api&utm_source
[30/9446] ok: https://www.adzuna.com.au/details/4725865001?utm_medium=api&utm_source
[31/9446] ok: https://www.adzuna.com.au/details/4750808976?utm_medium=api&utm_source
[32/9446] ok: https://www.adzuna.com.au/details/4801297495?utm_medium=api&utm_source
[33/9446] ok: https://www.adzuna.com.au/details/4801298693?utm_medium=api&utm_source
[34/9446] ok: https://www.adzuna.com.au/details/4801315981?utm_medium=api&utm_source
[35/9446] ok: https://www.adzuna.com.au/details/4801322583?utm_medium=api&utm_source
[36/9446] ok: https://www.adzuna.com.au/details/4801332662?utm_medium=api&utm_source
[37/9446] ok: https://www.adzuna.com.au/details/4803143823?utm_medium=api&utm_source
[38/9446] ok: https://www.adzuna.com.au/details/4810316537?utm_medium=api&utm_source
[39/9446] ok: https://www.adzuna.com.au/details/4851573491?utm_medium=api&utm_source
[40/9446] ok: https://www.adzuna.com.au/details/4857677945?utm_medium=api&utm_source
[41/9446] ok: https://www.adzuna.com.au/details/4866561549?utm_medium=api&utm_source
[42/9446] ok: https://www.adzuna.com.au/details/4870123311?utm_medium=api&utm_source
[43/9446] ok: https://www.adzuna.com.au/details/4877650315?utm_medium=api&utm_source
[44/9446] ok: https://www.adzuna.com.au/details/4885090348?utm_medium=api&utm_source
[45/9446] ok: https://www.adzuna.com.au/details/4899806110?utm_medium=api&utm_source
[46/9446] ok: https://www.adzuna.com.au/details/4899808350?utm_medium=api&utm_source
[47/9446] ok: https://www.adzuna.com.au/details/4910154264?utm_medium=api&utm_source
[48/9446] ok: https://www.adzuna.com.au/details/4912010661?utm_medium=api&utm_source
[49/9446] ok: https://www.adzuna.com.au/details/4912010669?utm_medium=api&utm_source
[50/9446] ok: https://www.adzuna.com.au/details/4921582884?utm_medium=api&utm_source
Saved. 0:03:50.986727 elapsed, ~12.1h remaining
[51/9446] ok: https://www.adzuna.com.au/details/4925586428?utm_medium=api&utm_source
[52/9446] ok: https://www.adzuna.com.au/details/4925597996?utm_medium=api&utm_source
[53/9446] ok: https://www.adzuna.com.au/details/4935810545?utm_medium=api&utm_source
[54/9446] ok: https://www.adzuna.com.au/details/4946529318?utm_medium=api&utm_source
[55/9446] ok: https://www.adzuna.com.au/details/4971228901?utm_medium=api&utm_source
[56/9446] ok: https://www.adzuna.com.au/details/4978893572?utm_medium=api&utm_source
[57/9446] ok: https://www.adzuna.com.au/details/4982790428?utm_medium=api&utm_source
[58/9446] ok: https://www.adzuna.com.au/details/4985460473?utm_medium=api&utm_source
[59/9446] ok: https://www.adzuna.com.au/details/4987894181?utm_medium=api&utm_source
[60/9446] ok: https://www.adzuna.com.au/details/4990262378?utm_medium=api&utm_source
[61/9446] ok: https://www.adzuna.com.au/details/4992106028?utm_medium=api&utm_source
[62/9446] ok: https://www.adzuna.com.au/details/5002776958?utm_medium=api&utm_source
[63/9446] ok: https://www.adzuna.com.au/details/5014216584?utm_medium=api&utm_source
[64/9446] ok: https://www.adzuna.com.au/details/5014219216?utm_medium=api&utm_source
[65/9446] ok: https://www.adzuna.com.au/details/5017325009?utm_medium=api&utm_source
[66/9446] ok: https://www.adzuna.com.au/details/5025366831?utm_medium=api&utm_source
[67/9446] ok: https://www.adzuna.com.au/details/5032646829?utm_medium=api&utm_source
[68/9446] ok: https://www.adzuna.com.au/details/5032648700?utm_medium=api&utm_source
[69/9446] ok: https://www.adzuna.com.au/details/5038185363?utm_medium=api&utm_source
[70/9446] ok: https://www.adzuna.com.au/details/5038185398?utm_medium=api&utm_source
[71/9446] ok: https://www.adzuna.com.au/details/5040913620?utm_medium=api&utm_source
[72/9446] ok: https://www.adzuna.com.au/details/5044348368?utm_medium=api&utm_source
[73/9446] ok: https://www.adzuna.com.au/details/5044726659?utm_medium=api&utm_source
[74/9446] ok: https://www.adzuna.com.au/details/5047211475?utm_medium=api&utm_source
[75/9446] ok: https://www.adzuna.com.au/details/5051936745?utm_medium=api&utm_source
[76/9446] ok: https://www.adzuna.com.au/details/5051959969?utm_medium=api&utm_source
[77/9446] ok: https://www.adzuna.com.au/details/5054630561?utm_medium=api&utm_source
[78/9446] ok: https://www.adzuna.com.au/details/5054964875?utm_medium=api&utm_source
[79/9446] ok: https://www.adzuna.com.au/details/5054965005?utm_medium=api&utm_source
[80/9446] ok: https://www.adzuna.com.au/details/5058602371?utm_medium=api&utm_source
[81/9446] ok: https://www.adzuna.com.au/details/5058602547?utm_medium=api&utm_source
[82/9446] ok: https://www.adzuna.com.au/details/5062769697?utm_medium=api&utm_source
[83/9446] ok: https://www.adzuna.com.au/details/5063929978?utm_medium=api&utm_source
[84/9446] ok: https://www.adzuna.com.au/details/5066536311?utm_medium=api&utm_source
[85/9446] ok: https://www.adzuna.com.au/details/5066536317?utm_medium=api&utm_source
[86/9446] ok: https://www.adzuna.com.au/details/5074204677?utm_medium=api&utm_source
[87/9446] ok: https://www.adzuna.com.au/details/5076834488?utm_medium=api&utm_source
[88/9446] ok: https://www.adzuna.com.au/details/5076844934?utm_medium=api&utm_source
Error fetching https://www.adzuna.com.au/details/5079206264?utm_medium=api&utm_source: 404 Client Error: Not Found for url: https://www.adzuna.com.au/details/5079206264?utm_medium=api&utm_source=4e892bd2
[89/9446] no description: https://www.adzuna.com.au/details/5079206264?utm_medium=api&utm_source
[90/9446] ok: https://www.adzuna.com.au/details/5080118173?utm_medium=api&utm_source
[91/9446] ok: https://www.adzuna.com.au/details/5082215958?utm_medium=api&utm_source
[92/9446] ok: https://www.adzuna.com.au/details/5082215970?utm_medium=api&utm_source
[93/9446] ok: https://www.adzuna.com.au/details/5084976928?utm_medium=api&utm_source
[94/9446] ok: https://www.adzuna.com.au/details/5084977951?utm_medium=api&utm_source
[95/9446] ok: https://www.adzuna.com.au/details/5084980419?utm_medium=api&utm_source
[96/9446] ok: https://www.adzuna.com.au/details/5088740570?utm_medium=api&utm_source
[97/9446] ok: https://www.adzuna.com.au/details/5088740757?utm_medium=api&utm_source
[98/9446] ok: https://www.adzuna.com.au/details/5088741460?utm_medium=api&utm_source
[99/9446] ok: https://www.adzuna.com.au/details/5088744333?utm_medium=api&utm_source
[100/9446] ok: https://www.adzuna.com.au/details/5088744919?utm_medium=api&utm_source
